h3_id,dt,pred
8a1181b60987fff,2021-08-01,6082.497
8a1181b6098ffff,2021-08-01,5226.768
8a1181b60997fff,2021-08-01,5862.556
8a1181b6099ffff,2021-08-01,5739.2256
8a1181b60a17fff,2021-08-01,6063.09
8a1181b60a37fff,2021-08-01,5495.4946
8a1181b60a5ffff,2021-08-01,4927.7534
8a1181b60a87fff,2021-08-01,5811.79
8a1181b60aaffff,2021-02-01,5539.804
8a1181b60ac7fff,2021-08-01,4652.47
8a1181b60b37fff,2021-08-01,5966.359
8a1181b60b87fff,2021-08-01,5878.332
8a1181b60b8ffff,2021-08-01,5800.803
8a1181b60b97fff,2021-08-01,5968.8994
8a1181b60b9ffff,2021-08-01,5864.9365
8a1181b60ba7fff,2021-08-01,5778.881
8a1181b60baffff,2021-08-01,5900.1504
8a1181b60bb7fff,2021-08-01,5831.161
8a1181b60c07fff,2021-08-01,5883.1753
8a1181b60c27fff,2021-08-01,5705.78
8a1181b60c2ffff,2021-08-01,5874.968
8a1181b60c57fff,2021-08-01,5092.7236
8a1181b60c77fff,2021-08-01,5725.805
8a1181b60c8ffff,2021-08-01,4848.6885
8a1181b60cf7fff,2021-08-01,4837.4463
8a1181b60d07fff,2021-08-01,5818.604
8a1181b60d0ffff,2021-08-01,5601.0117
8a1181b60d17fff,2021-08-01,6234.7554
8a1181b60d1ffff,2021-08-01,5419.7827
8a1181b60d2ffff,2021-08-01,5602.0044
8a1181b60d37fff,2021-08-01,6000.2036
8a1181b60d47fff,2021-08-01,6145.5503
8a1181b60d67fff,2021-08-01,5953.915
8a1181b60d6ffff,2021-08-01,5848.7563
8a1181b611b7fff,2021-08-01,5343.359
8a1181b61397fff,2021-08-01,4821.0376
8a1181b6145ffff,2021-08-01,5616.165
8a1181b616f7fff,2021-08-01,4536.074
8a1181b61747fff,2021-08-01,4827.422
8a1181b6176ffff,2021-08-01,4832.0493
8a1181b61777fff,2021-08-01,4827.239
8a1181b61787fff,2021-08-01,5592.319
8a1181b617a7fff,2021-08-01,5382.0137
8a1181b617b7fff,2021-08-01,5596.3135
8a1181b6186ffff,2021-08-01,4998.728
8a1181b618a7fff,2021-08-01,5127.026
8a1181b61917fff,2021-08-01,5408.2593
8a1181b61987fff,2021-08-01,5324.53
8a1181b61997fff,2021-08-01,5296.984
8a1181b619affff,2021-02-01,5660.544
8a1181b619b7fff,2021-08-01,5475.063
8a1181b61b37fff,2021-08-01,4956.7583
8a1181b61ceffff,2021-08-01,5347.5283
8a1181b61d6ffff,2021-07-01,5490.31
8a1181b61d6ffff,2021-07-01,5310.5635
8a1181b61da7fff,2021-08-01,5090.8794
8a1181b61daffff,2021-08-01,4930.7827
8a1181b62247fff,2021-08-01,5499.7373
8a1181b6225ffff,2021-08-01,5400.2515
8a1181b622effff,2021-08-01,5504.7812
8a1181b62307fff,2021-08-01,5034.9097
8a1181b6230ffff,2021-08-01,5038.1533
8a1181b6296ffff,2021-07-01,4768.836
8a1181b62a9ffff,2021-08-01,5113.0894
8a1181b62b37fff,2021-08-01,5024.409
8a1181b6300ffff,2021-08-01,5302.655
8a1181b63027fff,2021-08-01,5645.9395
8a1181b63077fff,2021-04-01,5685.5146
8a1181b63077fff,2021-04-01,5703.2197
8a1181b63107fff,2021-08-01,5296.0474
8a1181b63117fff,2021-08-01,5345.337
8a1181b6311ffff,2021-08-01,5277.396
8a1181b63127fff,2021-08-01,5514.452
8a1181b63197fff,2021-08-01,5059.934
8a1181b631b7fff,2021-08-01,5397.3164
8a1181b63207fff,2021-08-01,5321.674
8a1181b6320ffff,2021-08-01,5325.3115
